Stock,LQ8371,IV8690,QI4683
ACC,1,1,1
ADANIENT,10,10,1
ADANIPORTS,6,6,1
ADANIPOWER,50,50,1
AMARAJABAT,2,2,1
AMBUJACEM,6,6,1
APOLLOHOSP,1,1,1
APOLLOTYRE,8,8,1
AASHOKLEY,15,15,1
ASIANPAINT,2,2,1
AUROPHARMA,3,3,1
AXISBANK,3,3,1
BAJAJ-AUTO,1,1,1
BAJAJFINSV,0,0,1
BAJFINANCE,1,1,1
BALKRISIND,2,2,1
BANDHANBNK,3,3,1
BANKBARODA,11,11,1
BATAINDIA,1,1,1
BEL,15,15,1
BERGEPAINT,6,6,1
BHARATFORG,3,3,1
BHARTIARTL,5,5,1
BHEL,19,19,1
BIOCON,5,5,1
BOSCHLTD,0,0,1
BPCL,5,5,1
BRITANNIA,1,1,1
CADILAHC,4,4,1
CANBK,5,5,1
CENTURYTEX,2,2,1
CESC,2,2,1
CHOLAFIN,6,6,1
CIPLA,3,3,1
COALINDIA,6,6,1
COLPAL,2,2,1
CONCOR,4,4,1
CUMMINSIND,2,2,1
DABUR,3,3,1
DIVISLAB,1,1,1
DLF,7,7,1
DRREDDY,1,1,1
EICHERMOT,0,0,1
EQUITAS,10,10,1
ESCORTS,3,3,1
EXIDEIND,6,6,1
FEDERALBNK,18,18,1
GAIL,13,13,1
GLENMARK,3,3,1
GMRINFRA,113,113,1
GODREJCP,2,2,1
GODREJPROP,2,2,1
GRASIM,2,2,1
HAVELLS,3,3,1
HCLTECH,2,2,1
HDFC,1,1,1
HDFCBANK,1,1,1
HDFCLIFE,2,2,1
HEROMOTOCO,1,1,1
HINDALCO,9,9,1
HINDPETRO,5,5,1
HINDUNILVR,1,1,1
IBULHSGFIN,2,2,1
ICICIBANK,3,3,1
ICICIPRULI,4,4,1
IDEA,70,70,1
IDFCFIRSTB,30,30,1
IGL,7,7,1
INDIGO,2,2,1
INDUSINDBK,1,1,1
INFRATEL,5,5,1
INFY,3,3,1
IOC,9,9,1
ITC,6,6,1
JINDALSTEL,8,8,1
JSWSTEEL,5,5,1
JUBLFOOD,1,1,1
JUSTDIAL,4,4,1
KOTAKBANK,1,1,1
L&TFH,11,11,1
LICHSGFIN,3,3,1
LT,1,1,1
LUPIN,2,2,1
M&M,3,3,1
M&MFIN,3,3,1
MANAPPURAM,15,15,1
MARICO,7,7,1
MARUTI,0,0,1
MCDOWELL-N,3,3,1
MFSL,3,3,1
MGL,2,2,1
MINDTREE,2,2,1
MOTHERSUMI,8,8,1
MRF,0,0,1
MUTHOOTFIN,4,4,1
NATIONALUM,25,25,1
NAUKRI,1,1,1
NCC,20,20,1
NESTLEIND,0,0,1
NIITTECH,2,2,1
NMDC,15,15,1
NTPC,12,12,1
OIL,8,8,1
ONGC,9,9,1
PAGEIND,0,0,1
PEL,1,1,1
PETRONET,8,8,1
PFC,16,16,1
PIDILITIND,1,1,1
PNB,18,18,1
POWERGRID,10,10,1
PVR,1,1,1
RAMCOCEM,2,2,1
RBLBANK,3,3,1
RECLTD,15,15,1
RELIANCE,1,1,1
SAIL,30,30,1
SBIN,8,8,1
SHREECEM,0,0,1
SIEMENS,1,1,1
SRF,1,1,1
SRTRANSFIN,2,2,1
SUNPHARMA,3,3,1
SUNTV,3,3,1
TATACHEM,2,2,1
TATACONSUM,7,7,1
TATAMOTORS,8,8,1
TATAPOWER,23,23,1
TATASTEEL,3,3,1
TCS,1,1,1
TECHM,3,3,1
TITAN,2,2,1
TORNTPHARM,1,1,1
TORNTPOWER,8,8,1
TVSMOTOR,3,3,1
UBL,2,2,1
UJJIVAN,4,4,1
ULTRACEMCO,1,1,1
UPL,2,2,1
VEDL,8,8,1
VOLTAS,3,3,1
WIPRO,8,8,1
YESBANK,6,6,1
ZEEL,3,3,1
